"課程
Course","資訊
Infoormation","備註
note","通識
GE","選上機率
Probability","重設排序
Reset",系所 Department,課程 Course ID,教室大樓 Building,時間 Time,設課語言 Language,加簽 Extra Enrollment
"BME 400100
專題研究
Undergraduate Research","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
GEN II綜二104	T5T6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限大學部學生修課
<限制 Limitation>
限大學部
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111M選修
",-,-,,BME,BME 400100,GEN II綜二,T5T6,中文 ZH,O 接受 Allowed
"BME 500400
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
鄭兆&#29641;	CHENG, CHAO-MIN
<教室 Room & 時間 Time>
NTHU Lab清實826	W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限醫工所
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D必修/醫工所111M必修
",-,-,,BME,BME 500400,NTHU Lab清實,W3W4,中文 ZH,O 接受 Allowed
"BME 500800
癌症生物學與治療
Cancer Biology and Therapy","<人限 Limit / 新生保留 New Only>
24 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
15 / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
陳韻晶	CHEN, YUN-CHING
<教室 Room & 時間 Time>
NTHU Lab清實826	M5M6M7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)生物產業技術學分學程
<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 500800,NTHU Lab清實,M5M6M7,英文 EN,O 接受 Allowed
"BME 501200
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
NTHU Lab清實826	M5M6M7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限醫工所碩二以上同學，Selectable after successfully completing first year's coursework
<限制 Limitation>
排除碩士班1年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111M必修
",-,-,,BME,BME 501200,NTHU Lab清實,M5M6M7,中文 ZH,O 接受 Allowed
"BME 501900
微機電奈米感測器
Microelectromechanical Sensor","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
林宗宏	LIN, ZONG-HONG
<教室 Room & 時間 Time>
NTHU Lab清實319	F6F7F8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限醫工所
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)奈米科技學分學程
<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 501900,NTHU Lab清實,F6F7F8,英文 EN,O 接受 Allowed
"BME 502400
奈米生醫材料
Nano-/Bio-materials","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
鄭兆&#29641;	CHENG, CHAO-MIN
<教室 Room & 時間 Time>
NTHU Lab清實319	W5W6W7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)奈米科技學分學程/(跨領域)奈微米機電元件與系統全英語學分學程
<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 502400,NTHU Lab清實,W5W6W7,英文 EN,O 接受 Allowed
"BME 502500
生物分析化學
Bioanalytical Chemistry","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
林宗宏	LIN, ZONG-HONG
<教室 Room & 時間 Time>
NTHU Lab清實826	T6T7T8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)生物產業技術學分學程
<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 502500,NTHU Lab清實,T6T7T8,英文 EN,O 接受 Allowed
"BME 502600
醫療器材設計與開發實務
Practical Skills of the Design and Development of Medical Devices","<人限 Limit / 新生保留 New Only>
36 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
26 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
王明哲	WANG, MING-CHE
<教室 Room & 時間 Time>
GEN II綜二616	MaMbMc
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 502600,GEN II綜二,MaMbMc,中文 ZH,O 接受 Allowed
"BME 503600
奈米光學材料
Optical Nanomaterials","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
萬德輝	WAN, DE-HUI
<教室 Room & 時間 Time>
NTHU Lab清實826	R7R8R9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限醫工所
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 503600,NTHU Lab清實,R7R8R9,英文 EN,O 接受 Allowed
"BME 503900
應用細胞生物工程學
Applied Cellular Bioengineering","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
黃玠誠	HUANG, CHIEH-CHENG
<教室 Room & 時間 Time>
NTHU Lab清實826	R2R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 503900,NTHU Lab清實,R2R3R4,英文 EN,O 接受 Allowed
"BME 504000
金屬生物醫藥與生醫材料
Metal-based biomedicine and biomaterials","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
魯才德	LU, TSAI-TE
<教室 Room & 時間 Time>
NTHU Lab清實826	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限曾修過「普通化學」者選修
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 504000,NTHU Lab清實,M2M3M4,英文 EN,O 接受 Allowed
"BME 504400
前瞻生物醫學技術概論
Introduction of Frontier Biomedical Technology","<人限 Limit / 新生保留 New Only>
15 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
9 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
裘正健	CHIU, JENG-JIANN
<教室 Room & 時間 Time>
GEN II綜二614	F2F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限大四以上選修
<限制 Limitation>
排除大學部1年級2年級3年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 504400,GEN II綜二,F2F3F4,中文 ZH,O 接受 Allowed
"BME 504600
液態生物檢體與轉譯醫學應用
Liquid biopsy and its applications in translational medicine","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
林幸瑩	LIN, HSING-YING
<教室 Room & 時間 Time>
NTHU Lab清實319	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
修課學生須先經過任課教師同意
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 504600,NTHU Lab清實,M2M3M4,英文 EN,O 接受 Allowed
"BME 504900
物聯網生醫感測平台於轉譯醫學之應用
IoT biomedical sensing platformsin translational medicine application","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
林幸瑩	LIN, HSING-YING
<教室 Room & 時間 Time>
NTHU Lab清實319	M5M6M7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
修課學生須先經過任課教師同意
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D選修/醫工所111M選修
",-,-,,BME,BME 504900,NTHU Lab清實,M5M6M7,英文 EN,O 接受 Allowed
"BME 800100
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
NTHU Lab清實319	M5M6M7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限醫工所博士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫工所111D必修
",-,-,,BME,BME 800100,NTHU Lab清實,M5M6M7,中文 ZH,O 接受 Allowed
"BMES 111100
生醫工程與環境科學導論
Introduction to Biomedical Engineering and Environmental Sciences","<人限 Limit / 新生保留 New Only>
60 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
57 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
黃郁棻	HUANG, YU-FEN
陳之碩	CHEN, CHI-SHUO
<教室 Room & 時間 Time>
BMES醫環301	M7M8M9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程每週上180分鐘
<限制 Limitation>
原科院優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>
生醫工程(二)/生醫工程與環境科學(一)
<學程 Program>

<必選修 Required or Elective>
醫環系111B必修
",-,-,,BMES,BMES 111100,BMES醫環,M7M8M9,中文 ZH,O 接受 Allowed
"BMES 211100
工程數學一
Engineering Mathematics I","<人限 Limit / 新生保留 New Only>
50 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
13 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
朱麗安	CHU, LI-AN
<教室 Room & 時間 Time>
BMES醫環110	T7T8T9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
醫環系大學部2年級,原科院學士班大學部2年級優先，第3次選課起開放全校修習
<擋修 Prerequisite>
擋修對象 : 醫環系 
先修科目 : 微積分二-成績需D以上微積分Ｂ二-成績需D以上微積分二(數學系)-成績需D以上微積分Ａ二-成績需D以上上述條件任選一科，則不擋修。
<專長 Speciality>
生醫工程與環境科學(一)
<學程 Program>

<必選修 Required or Elective>
醫環系110B必修/原科院學士班110B必修
",-,-,,BMES,BMES 211100,BMES醫環,T7T8T9,中文 ZH,O 接受 Allowed
"BMES 212100
機率與統計
Probability and Statistics","<人限 Limit / 新生保留 New Only>
60 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
2 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
陳之碩	CHEN, CHI-SHUO
<教室 Room & 時間 Time>
BMES醫環110	M3M4W2
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>

<限制 Limitation>

<擋修 Prerequisite>
擋修對象 : 醫環系 
先修科目 : 微積分一-成績需D以上微積分Ａ一-成績需D以上微積分Ｂ一-成績需D以上微積分一(數學系)-成績需D以上曾修微積分一(數學系)(基本科目免修測試)曾修微積分Ａ一(基本科目免修測試)曾修微積分Ｂ一(基本科目免修測試)上述條件任選一科，則不擋修。
<專長 Speciality>
生醫工程(二)/生醫工程與環境科學(一)/醫學物理(二)
<學程 Program>
(跨領域)生物資訊學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程
<必選修 Required or Elective>
醫環系110B必修
",-,-,,BMES,BMES 212100,BMES醫環,M3M4W2,中文 ZH,O 接受 Allowed
"BMES 213300
電子學一
Electronics I","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
葉秩光	YEH, CHIH-KUANG
<教室 Room & 時間 Time>
BMES醫環110	T3T4R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>

<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
生醫工程(二)/生醫工程與環境科學(一)/醫學物理(二)
<學程 Program>
(跨領域)積體電路設計學分學程
<必選修 Required or Elective>
醫環系110B必修
",-,-,,BMES,BMES 213300,BMES醫環,T3T4R4,中文 ZH,O 接受 Allowed
"BMES 215100
有機化學一
Organic Chemistry (I)","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
俞鐘山	YU, CHUNG-SHAN
<教室 Room & 時間 Time>
BMES醫環110	W3W4F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程上150分鐘，其餘時間由教授彈性運用
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
環境科技學程(二)/生醫工程(二)/生醫工程與環境科學(一)/生命科學(二)
<學程 Program>

<必選修 Required or Elective>
醫環系110B必修/原科院學士班110B必修
",-,-,,BMES,BMES 215100,BMES醫環,W3W4F3F4,中文 ZH,O 接受 Allowed
"BMES 312101
生醫電子與儀器實驗
Biomedical Electronics and Instrumentation Laboratory","<人限 Limit / 新生保留 New Only>
25 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
15 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
葉秩光	YEH, CHIH-KUANG
<教室 Room & 時間 Time>
BMES醫環110	M5M6M7M8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
醫環系大學部3年級優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫環系109B必修
",-,-,,BMES,BMES 312101,BMES醫環,M5M6M7M8,中文 ZH,O 接受 Allowed
"BMES 312102
生醫電子與儀器實驗
Biomedical Electronics and Instrumentation Laboratory","<人限 Limit / 新生保留 New Only>
25 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
陳之碩	CHEN, CHI-SHUO
<教室 Room & 時間 Time>
BMES醫環110	R5R6R7R8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
醫環系大學部3年級優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫環系109B必修
",-,-,,BMES,BMES 312102,BMES醫環,R5R6R7R8,中文 ZH,O 接受 Allowed
"BMES 316100
生物化學一
Biochemistry I","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
邱信程	CHIU, HSIN-CHENG
<教室 Room & 時間 Time>
BMES醫環101	T3T4R3
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
環境科技學程(二)/生醫工程(二)/生醫工程與環境科學(一)/生命科學(二)
<學程 Program>
(跨領域)生物產業技術學分學程
<必選修 Required or Elective>
醫環系109B必修/原科院學士班109B必修
",-,-,,BMES,BMES 316100,BMES醫環,T3T4R3,中文 ZH,O 接受 Allowed
"BMES 318100
專題研究一
Undergraduate Research (I)","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
BMES醫環101	T3T4R3
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
指導教授限醫環系教師
<限制 Limitation>
限大學部
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫環系109B選修
",-,-,,BMES,BMES 318100,BMES醫環,T3T4R3,中文 ZH,O 接受 Allowed
"BMES 323100
數值方法
Numerical Methods","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
劉耕谷	LIU, KENG-KU
<教室 Room & 時間 Time>
BMES醫環101	T6T7T8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
生醫工程(二)/生醫工程與環境科學(一)
<學程 Program>
(跨領域)神經科學學分學程
<必選修 Required or Elective>
醫環系109B選修
",-,-,,BMES,BMES 323100,BMES醫環,T6T7T8,中文 ZH,O 接受 Allowed
"BMES 327200
生醫材料
Biomedical Materials","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
11 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
胡尚秀	HU, SHANG-HSIU
<教室 Room & 時間 Time>
BMES醫環717	W3W4F2
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
生醫工程(二)
<學程 Program>
(跨領域)醫學科技學分學程
<必選修 Required or Elective>
醫環系109B選修
",-,-,,BMES,BMES 327200,BMES醫環,W3W4F2,中文 ZH,O 接受 Allowed
"BMES 332100
儀器分析
Instrumental Analysis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
李亦淇	LEE, I-CHI
<教室 Room & 時間 Time>
BMES醫環618	R4F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
生醫工程(二)/生醫工程與環境科學(一)
<學程 Program>

<必選修 Required or Elective>
醫環系109B選修/原科院學士班109B選修
",-,-,,BMES,BMES 332100,BMES醫環,R4F3F4,中文 ZH,O 接受 Allowed
"BMES 337100
物理化學一
Physical Chemistry (I)","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
吳劍侯	WU, CHIEN-HOU
<教室 Room & 時間 Time>
BMES醫環717	M3M4W1W2
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程上150分鐘,其餘時間由教授彈性運用.
<限制 Limitation>

<擋修 Prerequisite>
擋修對象 : 醫環系 
先修科目 : 普通化學二-成績需D以上上述條件一定要有，則不擋修。
<專長 Speciality>
環境科技學程(二)/生醫工程(二)/生醫工程與環境科學(一)
<學程 Program>

<必選修 Required or Elective>
醫環系109B選修/原科院學士班110B必修
",-,-,,BMES,BMES 337100,BMES醫環,M3M4W1W2,中文 ZH,O 接受 Allowed
